STT,lop,gioitinh,hocluc,thaido,B.1.1,B1.2,B1.3,B1.4,B1.5,B2.1,B2.2,B2.3,B2.4,B3.1,B3.2,B3.3,C1.1.1,C1.1.2,C1.1.3,C1.1.4,C1.2.1,C1.2.2,C1.2.3,C1.2.4,C1.3.1,C1.3.2,C1.3.3,C1.3.4,C1.4.1,C1.4.2,C1.4.3,C1.4.4,C1.5.1,C1.5.2,C1.5.3,C1.5.4,C2.1.1,C2.1.2,C2.1.3,C2.1.4,C2.2.1,C2.2.2,C2.2.3,C2.2.4,C2.3.1,C2.3.2,C2.3.3,C2.3.4,C3.1.1,C3.1.2,C3.1.3,C3.1.4,C3.2.1,C3.2.2,C3.2.3,C3.2.4,C3.3.1,C3.3.2,C3.3.3,C3.3.4,C3.4.1,C3.4.2,C3.4.3,C3.4.4,C3.5.1,C3.5.2,C3.5.3,C3.5.4,C3.6.1,C3.6.2,C3.6.3,C3.6.4,C1,C2,C3
1,4,2,3,1,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,2,2,2,2,2,2,4,2,2,3,3,4,3,4,4,3,2,3,2,3,2,3,3,3,3,4,3,4,3,3,3,4,3,4,4,4,4,5,4,5,3,3,3.375
2,1,2,3,1,3,3,3,3,3,4,3,4,3,2,1,2,3,3,2,3,3,2,2,2,3,4,5,4,4,4,4,4,2,2,3,3,2,2,3,2,1,3,4,3,4,4,5,5,3,3,3,3,4,3,3,2,3,4,3,2,4,4,4,4,4,3,4,4,4,4,4,4,3.1,3.16666666666667,3.45833333333333
3,1,2,3,1,3,4,4,4,3,3,3,4,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,5,5,5,3,3,4,4,4,3,3,3,3,3,3,4,3,4,4,3,3,2,3,3,3,3,2,2,2,3,4,4,4,4,2,4,4,4,4,3,4,3,4,5,5,3.2,3.25,3.375
4,1,2,3,2,3,4,3,3,3,2,2,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,3,2,2,3,2,2,2,3,2,2,4,4,4,4,2,3,2,3,3,4,3,3,3,3,3,4,2,3,4,4,3,3,4,3,3,3,3,3,5,3,4,4,2,4,3,4,2.5,3.25,3.33333333333333
5,1,2,2,1,4,4,3,4,4,3,3,4,3,2,2,2,2,2,1,2,1,1,1,1,2,2,3,3,5,5,3,5,3,3,3,3,4,4,4,4,5,5,5,5,2,3,3,3,3,3,2,4,3,2,4,3,4,4,4,4,4,4,4,2,4,3,4,3,1,2,2,3,2.55,3.91666666666667,3.16666666666667
6,2,1,3,1,2,2,4,2,3,4,4,3,4,3,3,3,1,2,1,2,1,2,2,2,3,3,3,3,4,4,4,4,1,2,1,2,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,2,3,3,3,3,3,4,4,3,3,4,5,3,4,3,3,2.35,3.66666666666667,3.29166666666667
7,2,1,4,1,2,2,2,2,3,2,3,3,3,3,2,3,4,4,4,3,1,1,1,1,5,4,4,4,3,3,3,3,2,3,3,3,3,3,4,3,2,2,2,3,3,3,3,2,3,3,3,3,3,2,4,3,2,3,3,3,4,4,4,4,4,2,2,4,3,4,3,3,2.95,2.75,3.16666666666667
8,3,2,3,1,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,1,3,2,2,5,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,4,4,4,4,4,4,4,3,3,2,4,3,4,4,4,4,4,5,5,4,4,5,4,5,5,5,3,3,3.05,3.33333333333333,3.95833333333333
9,1,1,4,2,2,3,2,2,3,3,2,4,4,4,3,4,2,2,2,2,3,2,2,3,3,4,3,4,3,2,2,2,4,4,4,4,4,4,4,4,3,4,3,3,5,5,4,4,3,3,4,4,2,3,2,3,4,4,4,4,3,4,3,4,4,4,4,4,3,3,3,3,2.85,3.91666666666667,3.41666666666667
10,3,1,3,1,3,2,2,4,3,2,4,4,4,4,2,3,1,2,2,2,2,2,2,2,3,4,3,3,3,3,3,3,2,2,4,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,4,5,5,5,3,4,4,4,3,3,2,3,1,1,2,2,2.5,2.91666666666667,3.04166666666667
11,3,2,3,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,3,3,4,4,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,2,4,4,4,5,3,2,4,4,1,2,2,3,4,4,4,4,4,2,4,4,3,3,3,4,4,3,3,2,2.7,3.25,3.16666666666667
12,3,2,4,1,4,3,3,3,3,4,4,3,3,2,2,2,1,1,2,2,2,2,2,2,3,3,3,3,3,2,2,1,2,3,2,3,3,2,4,3,2,2,2,2,4,3,3,3,3,3,3,3,2,2,3,2,5,5,5,4,3,3,3,4,3,4,4,2,5,5,5,5,2.2,2.75,3.58333333333333
13,3,1,3,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,3,3,3,3,4,3,4,4,3,3,2,1,2,2,2,2,4,4,3,3,3,3,3,3,5,4,4,4,2,2,2,1,2,2,2,2,3,3,4,4,3,3,3,3,5,4,2,2,2,2,4,3,2.55,3.58333333333333,2.70833333333333
14,3,1,4,1,3,3,3,3,3,3,3,4,3,3,2,2,2,2,2,1,3,3,3,3,3,4,4,4,2,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,4,4,4,4,3,3,3,3,5,5,5,5,4,5,5,5,2.65,3,3.70833333333333
15,1,1,3,1,4,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,1,2,1,2,3,3,3,3,2,2,1,2,2,2,2,2,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,4,2,4,4,4,4,4,4,4,4,3,3,4,4,2,4,3,4,2.45,3.58333333333333,3.41666666666667
16,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,2,2,2,3,3,3,4,3,3,3,3,3,1,2,1,2,2,3,3,3,3,3,3,3,5,5,5,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,4,3,2.3,3.41666666666667,3
17,1,1,2,2,3,2,2,2,3,4,4,4,4,3,2,2,2,2,2,1,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,2,3,4,3,3,3,3,3,4,4,4,4,4,3,1,3,2,3.05,3.58333333333333,3.125
18,4,1,3,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,2,2,3,2,1,1,3,4,3,3,2,2,2,2,1,1,1,1,3,2,3,3,2,2,2,3,3,3,3,4,3,3,3,3,4,3,2,3,4,4,4,4,4,4,4,3,5,5,5,4,5,5,5,5,1.95,2.75,3.91666666666667
19,4,1,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,1,2,2,2,2,3,3,4,4,4,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,2,4,4,4,4,3,3,2,3,3,2,4,2,4,4,4,4,3,3,3,4,4,5,4,5,5,5,4,5,2.65,3.08333333333333,3.66666666666667
20,4,1,4,1,3,2,3,3,5,3,2,3,3,2,2,2,1,2,2,2,1,2,2,2,4,3,3,4,2,2,2,2,2,1,2,2,3,2,3,3,2,2,3,3,3,4,3,3,4,4,4,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,5,4,3,2,2.15,2.83333333333333,3.625
21,4,1,4,1,2,2,2,2,3,3,4,3,4,2,2,2,2,1,1,2,2,2,2,3,3,4,3,3,2,2,2,2,3,3,3,3,3,4,3,3,2,4,2,1,5,4,4,4,2,2,2,1,3,2,3,2,4,5,5,5,4,4,4,2,4,4,3,3,5,4,5,5,2.4,3.25,3.45833333333333
22,4,2,3,1,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,4,4,2,4,4,4,4,4,2,2,3,2,2,2,2,2,3,3,3,3,3,3,2,3,4,4,5,5,3,2,3,5,4,3,2,3,4,4,3,4,4,4,4,4,4,4,4,4,3,5,5,5,2.75,3.41666666666667,3.75
23,4,1,3,2,3,2,4,2,3,3,2,3,4,3,3,3,1,2,2,3,5,4,4,5,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,4,4,4,4,4,1,2,2,2,3,3,3,3,4,4,3,4,2,2,2,2,4,4,4,5,3.35,3.5,3.125
24,4,1,4,1,3,2,2,2,2,3,3,3,3,2,2,3,1,2,2,2,2,2,3,3,4,4,3,4,2,1,2,2,2,2,3,2,4,4,3,4,3,3,2,2,4,4,4,4,4,4,4,4,1,2,2,1,3,3,4,4,4,4,4,4,5,5,5,5,3,4,2,3,2.4,3.41666666666667,3.5
25,4,2,3,2,3,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,3,5,4,4,2,4,4,3,3,3,3,3,2,3,3,3,3,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,2,2,2,2,4,4,4,4,3,3,3,4,3,4,3,4,2,4,3,2,3,3.33333333333333,3.25
26,4,1,3,1,3,3,3,4,3,3,4,4,4,3,3,2,2,2,1,2,1,3,3,2,4,3,3,3,3,3,2,3,3,3,3,3,4,4,3,4,2,3,2,2,4,4,4,3,3,2,2,3,1,2,2,2,3,4,4,4,4,4,4,4,4,5,4,5,2,4,3,4,2.6,3.25,3.29166666666667
27,4,2,3,1,3,3,2,2,2,3,4,3,3,2,3,2,2,2,2,2,4,4,4,3,4,3,4,3,3,2,3,3,2,2,2,3,2,3,2,4,3,3,3,3,4,3,4,4,4,4,4,4,2,2,2,2,4,4,4,4,3,4,3,4,3,4,3,3,2,4,4,3,2.85,3.16666666666667,3.33333333333333
28,4,2,4,1,3,3,2,3,3,3,3,3,3,3,2,3,2,2,1,2,2,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,5,2,1,2,2,4,4,4,4,5,5,5,4,4,5,5,4,3,5,5,5,2.35,3.58333333333333,3.95833333333333
29,2,1,3,1,3,2,2,4,3,3,3,4,3,3,2,2,1,2,1,2,2,2,2,3,3,3,3,3,4,4,4,4,2,1,2,1,4,3,4,1,2,2,2,2,2,3,3,3,4,4,3,3,2,2,2,2,4,4,3,4,4,4,5,4,3,3,5,3,4,2,1,2,2.45,2.58333333333333,3.20833333333333
30,3,2,3,2,4,3,3,2,3,3,3,2,3,3,2,2,3,3,3,3,2,2,1,2,4,4,4,4,2,2,2,2,2,2,3,2,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,3,4,3,4,4,3,3,4,3,5,2,4,3,5,4,5,2.6,3.33333333333333,3.29166666666667
31,2,1,3,1,2,2,2,2,2,2,2,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,1,2,3,3,2,3,3,2,3,3,3,3,2,3,2,2,1,1,2,2,1,2,3,4,3,4,3,3,3,3,3,4,3,4,3,4,3,2,2.6,2.75,2.70833333333333
32,2,2,3,2,4,4,4,3,3,4,4,4,4,4,3,2,2,2,2,3,3,3,3,3,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,3,4,4,5,3,2,3,3,4,4,4,4,4,3,4,4,4,3,3,3,3,4,5,5,3.1,3.08333333333333,3.66666666666667
33,2,2,4,1,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,4,3,3,2,2,2,2,2,2,1,1,3,3,3,3,3,3,3,3,5,4,4,5,3,3,3,3,2,2,2,2,3,4,4,4,5,5,4,4,4,4,4,4,3,5,5,5,2.2,3.5,3.625
34,2,2,3,1,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,1,1,2,3,3,3,3,3,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,5,4,4,4,2,2,2,1,1,2,2,1,4,5,4,4,3,3,3,5,4,3,4,2,4,4,4,3,2.5,3.41666666666667,3
35,2,1,3,1,3,3,3,3,3,3,2,2,3,4,4,4,2,3,2,2,1,1,2,2,3,4,3,3,3,4,3,3,3,2,3,2,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,2,1,3,1,1,4,4,4,4,3,3,3,4,3,3,3,3,2,2,2,3,2.55,3.58333333333333,2.79166666666667
36,2,2,4,1,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,2,5,5,5,5,2,2,3,2,3,4,4,4,3,2,1,4,4,3,3,2,5,5,5,5,4,4,4,4,2,1,2,1,4,4,3,5,4,3,3,5,5,5,4,2,3,5,4,4,3.1,3.5,3.54166666666667
37,2,2,3,1,3,3,3,4,3,2,2,2,3,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,3,2,3,2,2,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,2,2,2,2,4,3,3,3,3,3,3,5,3,3,4,3,3,4,3,3,2.55,3.16666666666667,3.08333333333333
38,1,1,3,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,3,2,3,4,4,4,4,4,2,2,2,3,4,4,4,4,3,3,2,3,5,3,5,5,3,3,3,5,2,1,2,3,4,4,4,4,4,4,2,4,3,3,5,3,4,4,4,4,2.7,3.75,3.41666666666667
39,1,1,3,1,3,2,3,3,4,3,3,3,3,3,2,4,3,4,4,4,3,2,2,2,3,3,3,3,4,4,4,4,2,3,2,2,3,2,3,3,3,3,2,3,3,4,3,4,3,3,3,3,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3.05,3,3.25
40,3,2,4,2,4,2,4,2,2,2,2,2,3,2,3,2,3,2,2,3,3,3,3,3,4,4,5,4,3,4,4,4,2,2,4,4,3,3,3,3,3,3,2,3,4,4,4,4,4,4,4,5,2,2,2,2,4,4,3,4,3,3,3,5,3,5,5,4,3,3,3,3,3.3,3.25,3.45833333333333
41,1,1,3,2,4,3,4,3,3,3,2,3,3,2,3,2,2,3,2,3,2,2,2,3,4,4,4,4,2,3,2,3,2,3,2,2,4,4,4,4,3,3,3,3,4,3,4,5,3,3,3,3,2,2,3,3,4,4,3,4,3,3,3,3,4,4,5,4,3,3,3,3,2.7,3.66666666666667,3.25
42,1,2,4,2,2,3,3,3,4,2,3,3,3,2,2,2,3,3,3,3,1,3,2,2,3,4,4,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,2,3,5,3,5,2,3,3,3,3,4,4,4,4,5,3,5,4,3,3,3,4,4,3,4,4,3,4,5,4,2.65,3.16666666666667,3.70833333333333
43,1,2,3,2,3,2,3,4,3,3,3,2,4,3,2,3,3,2,2,2,3,3,3,3,4,4,4,3,2,2,2,2,3,2,2,2,3,3,4,3,3,3,2,2,4,4,4,3,3,3,3,2,3,3,3,3,4,4,4,5,4,4,4,4,4,3,4,4,5,5,5,4,2.65,3.16666666666667,3.75
44,1,1,4,2,3,3,3,3,3,3,4,3,3,2,2,3,2,2,3,2,2,3,2,3,4,3,4,4,3,3,3,3,2,2,3,2,4,4,3,2,2,2,2,3,4,5,3,3,3,4,4,4,1,1,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,2.75,3.08333333333333,3.41666666666667
45,1,2,3,1,4,2,3,2,3,2,3,4,4,1,2,1,3,2,2,1,1,1,1,3,3,4,3,4,2,2,2,2,2,1,2,2,4,2,4,2,2,3,2,3,3,2,3,2,2,3,3,2,2,3,3,3,4,4,3,4,4,4,4,4,3,3,2,2,5,5,5,5,2.15,2.66666666666667,3.41666666666667
46,1,2,3,1,3,3,4,4,3,3,3,3,4,1,1,1,3,3,3,3,2,2,2,2,3,4,4,4,3,4,4,3,3,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,2,2,4,2,2,3,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,5,4,3.2,3.41666666666667,3.5
47,1,1,3,3,3,3,4,3,4,4,3,2,4,4,5,4,2,1,2,2,2,2,2,2,3,3,4,3,2,4,2,2,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4,3,2,2,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,3,3,2.5,3.25,3.45833333333333
48,4,2,4,2,4,2,2,2,2,3,3,4,4,2,2,2,2,2,2,3,3,3,3,3,3,3,4,3,2,2,2,3,2,3,3,2,3,3,2,3,4,4,4,4,4,4,4,4,5,5,5,5,2,2,2,2,3,4,4,4,4,4,4,2,3,4,3,4,5,5,5,5,2.65,3.58333333333333,3.79166666666667
49,3,1,3,2,4,4,2,4,2,3,3,4,3,2,3,2,2,2,3,3,1,2,3,2,3,3,3,3,4,4,4,4,2,2,2,2,3,4,4,4,3,3,3,3,5,3,5,5,2,2,3,2,2,2,2,2,4,4,3,4,4,4,4,4,4,4,3,2,5,5,5,2,2.7,3.75,3.25
50,1,1,3,1,2,2,2,2,3,2,2,3,3,2,3,2,2,1,1,3,1,1,1,1,3,3,4,3,4,4,4,4,3,3,2,3,3,3,2,3,2,3,3,2,5,5,4,5,3,3,3,2,3,3,3,3,4,3,4,4,4,3,4,4,2,2,3,3,3,4,4,5,2.55,3.33333333333333,3.29166666666667
51,1,2,3,1,4,3,4,2,5,3,3,4,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,4,3,3,2,3,3,3,2,3,2,2,2,2,5,4,4,5,3,2,3,2,3,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,5,5,4,3,5,5,5,4,2.75,3,3.16666666666667
52,1,1,3,1,2,3,3,3,4,4,4,3,2,2,2,2,2,2,2,3,1,2,1,2,3,2,3,4,2,2,3,2,2,3,2,3,3,3,3,3,2,5,5,5,2,4,2,3,3,2,3,1,3,2,3,3,3,3,3,3,3,4,4,3,3,3,4,3,4,3,2,2,2.3,3.33333333333333,2.91666666666667
53,1,1,3,2,3,3,3,3,4,3,3,4,3,3,1,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,4,3,4,3,2,2,2,2,3,3,2,3,3,3,2,2,2,2,4,4,4,4,2,3,2,3,5,4,2,3,3.1,3.16666666666667,2.875
54,3,2,3,1,3,4,4,4,4,3,3,3,2,3,3,4,3,3,3,3,2,1,2,1,3,4,3,2,3,3,3,3,2,3,3,3,3,3,4,4,4,2,4,4,5,4,4,5,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,4,4,3,4,2,3,3,3,2.65,3.83333333333333,2.91666666666667
55,2,1,3,1,2,2,3,2,2,2,2,3,2,2,1,2,2,2,1,2,3,3,3,3,2,3,4,4,2,2,2,2,2,1,2,2,3,3,3,3,3,3,3,1,3,4,3,2,3,2,2,3,2,3,3,2,4,4,4,4,3,4,4,4,3,3,3,3,3,1,4,5,2.35,2.83333333333333,3.16666666666667
56,2,2,2,3,4,4,3,4,4,4,4,4,4,4,4,3,2,3,3,3,3,2,3,2,3,3,3,4,3,3,3,3,2,3,2,3,3,3,3,3,4,4,4,4,2,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,5,5,4,3,2.8,3.25,3.54166666666667
57,1,1,3,1,3,4,3,3,1,4,4,4,4,3,1,4,3,2,2,3,2,1,2,2,2,2,4,4,2,3,3,2,2,2,1,1,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,4,3,3,4,4,4,4,4,2.25,2.5,3.25
58,2,2,3,1,3,3,4,3,3,2,3,3,3,3,2,2,3,2,2,3,2,2,2,2,2,4,4,3,3,2,3,2,2,3,3,3,4,4,4,4,2,3,2,3,3,3,4,3,4,4,3,2,3,3,3,3,3,4,4,3,3,3,3,2,4,4,4,4,2,3,4,4,2.6,3.25,3.29166666666667
59,2,2,3,1,3,3,2,4,5,2,3,3,2,3,3,3,2,3,3,2,2,2,2,2,3,2,4,4,3,2,3,2,3,2,3,3,3,3,4,4,2,3,2,3,3,4,4,4,4,4,4,3,2,2,3,2,4,4,4,4,3,3,3,3,5,5,5,2,5,5,4,2,2.6,3.25,3.54166666666667
60,2,2,3,1,2,3,3,3,3,3,3,2,2,3,3,2,1,2,2,2,2,2,1,2,2,2,4,3,2,2,2,4,2,2,2,1,4,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,2.1,3.33333333333333,3.41666666666667
61,3,1,3,2,3,4,3,3,2,2,4,4,4,2,2,2,3,3,2,3,2,2,1,2,2,3,4,3,2,4,2,4,2,2,3,2,2,3,2,4,2,2,3,2,3,3,3,2,3,3,3,4,1,3,1,2,4,4,3,4,4,4,4,4,4,3,3,4,3,4,2,4,2.55,2.58333333333333,3.25
62,2,1,4,2,3,3,3,4,3,3,3,1,2,2,3,3,1,1,2,2,1,3,1,2,3,3,3,5,3,3,2,2,4,4,4,4,4,4,4,2,4,4,4,4,3,3,4,3,4,4,4,4,2,2,2,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2.65,3.58333333333333,3.375
63,2,2,3,2,3,4,5,4,2,3,3,4,4,3,3,3,3,3,3,2,3,2,2,2,2,2,4,4,2,2,1,2,2,3,2,2,3,3,4,3,2,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,3,4,5,4,4,2.4,3.08333333333333,3.08333333333333
64,3,2,3,1,2,3,3,3,3,1,1,1,1,3,3,3,1,2,2,2,2,3,4,3,3,4,2,3,4,4,4,4,2,2,2,2,2,3,3,3,3,4,3,3,4,3,4,4,3,3,4,4,1,1,3,2,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,3,2.75,3.25,3.375
65,2,2,3,2,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,2,3,2,4,4,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,4,3,3,4,4,4,4,4,3,4,4,5,4,4,3,5,2.7,3.75,3.41666666666667
66,3,2,3,1,4,3,3,3,3,3,4,2,3,3,3,3,3,2,3,3,2,3,2,3,3,4,4,4,3,4,4,4,2,3,3,2,4,4,3,4,3,3,2,3,5,3,5,5,2,2,1,1,2,2,2,2,3,4,3,3,4,3,3,3,3,4,4,4,2,3,3,3,3.05,3.66666666666667,2.75
67,3,1,3,2,2,4,3,2,3,4,3,3,3,2,3,3,2,2,2,2,2,2,1,2,3,4,4,4,3,2,3,2,2,2,3,2,3,3,3,3,3,4,2,3,3,3,3,3,4,3,3,4,3,3,3,3,4,4,4,3,4,4,4,4,2,1,2,4,1,1,2,5,2.45,3,3.125
68,3,1,4,1,3,4,4,3,4,2,2,2,2,2,3,3,2,2,1,2,2,2,4,2,3,3,4,3,1,2,2,1,3,3,2,2,3,3,3,3,2,2,3,2,3,3,4,4,4,4,4,4,1,1,2,1,4,4,3,3,3,4,5,4,4,4,4,4,1,5,1,1,2.3,2.91666666666667,3.125
69,3,2,3,2,3,4,4,4,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,2,2,2,1,2,2,2,2,4,4,4,4,4,4,4,3,2,2,2,2,3,3,3,3,2.3,2.75,2.75
70,3,1,3,2,4,3,4,5,4,3,2,3,3,4,3,1,2,3,3,3,3,3,3,3,2,3,3,4,3,4,3,3,2,2,2,3,2,2,2,2,2,3,2,2,4,3,2,2,3,2,2,1,1,2,2,1,4,4,4,4,3,3,3,4,2,2,2,2,2,3,3,3,2.85,2.33333333333333,2.58333333333333
71,3,1,4,2,4,4,4,3,5,2,4,3,2,3,3,3,2,1,2,2,3,3,2,3,4,4,4,4,2,4,4,4,3,2,3,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,1,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,2.9,3.33333333333333,3.91666666666667
72,3,1,3,1,2,3,3,2,5,3,4,2,3,2,2,3,2,1,2,2,2,1,2,1,2,4,4,3,2,2,2,2,3,2,2,2,4,3,3,4,2,3,3,4,3,3,4,3,2,2,2,1,1,2,2,3,4,4,4,4,4,4,3,4,4,4,4,4,2,3,4,4,2.15,3.25,3.125
73,3,2,3,2,3,3,3,4,3,4,3,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,4,4,3,3,3,3,2,2,3,2,3,3,3,3,2,4,3,3,5,5,5,5,2,2,2,1,2,1,2,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,2.55,3.66666666666667,3.125
74,2,1,3,1,2,3,3,4,5,3,4,4,4,4,4,3,1,1,2,2,2,1,2,2,4,3,4,4,2,2,2,2,2,2,3,2,4,3,4,3,3,4,3,3,2,3,3,3,3,3,3,3,1,2,2,1,4,5,5,3,4,4,4,4,3,3,3,4,4,4,5,5,2.25,3.16666666666667,3.41666666666667
75,3,1,3,2,3,3,3,3,3,3,3,3,4,4,4,4,2,3,3,3,3,3,3,3,4,3,4,4,3,2,3,3,2,3,3,3,4,4,4,3,2,3,2,3,3,3,3,3,3,3,3,3,1,2,2,2,3,3,3,3,3,4,3,3,4,5,4,5,3,2,3,2,3,3.08333333333333,3
76,3,2,3,2,2,3,4,3,2,3,2,3,3,4,3,3,3,3,3,3,2,2,2,2,3,4,4,3,2,3,2,1,2,2,2,2,4,4,4,4,3,3,3,3,3,5,5,5,3,2,2,1,3,3,3,3,5,4,4,4,3,3,3,4,2,2,2,2,5,5,5,5,2.5,3.83333333333333,3.25
77,3,1,4,1,2,4,2,3,3,2,3,3,2,3,3,4,1,2,2,1,3,3,3,3,4,4,3,3,3,3,3,2,3,3,3,3,2,3,2,3,2,2,2,2,4,4,3,3,3,3,3,4,1,2,2,1,4,5,5,4,4,4,4,3,3,3,3,4,5,5,5,4,2.75,2.66666666666667,3.5
78,3,1,3,2,2,3,3,2,5,3,4,4,3,2,2,3,2,2,2,1,1,2,2,1,2,1,3,3,2,2,2,2,2,2,3,2,2,3,2,3,4,4,4,4,3,2,3,3,4,4,4,4,2,1,2,2,4,4,4,4,4,3,3,4,3,2,3,3,3,3,2,2,1.95,3.08333333333333,3.08333333333333
79,3,2,2,2,2,3,3,3,2,4,3,3,4,2,2,3,3,3,3,3,2,1,2,1,3,2,3,4,3,2,3,3,2,3,2,2,3,3,3,3,2,3,2,2,3,4,4,4,2,2,3,3,2,2,3,3,3,3,4,4,3,3,3,4,3,4,3,3,4,4,4,4,2.5,3,3.16666666666667
